Timestamp|Name|Roll No|Phone No.|Email Address|Room No & Block|In which areas do you wish to contribute to CSI?|Which Yantras are you interested in?|Tell us about your interests. What is important to you?|What was your favourite CSI (or non-CSI) event last year? Describe your experience. What did you like about it?|Mention any softwares you have worked with and rate yourself in each out 5. Your|List the languages you know and rate yourself out of 5.|Given a chance to initiate a project as a member of Sanganithra, describe the project you would pursue.|Additional Information|Select the softwares you've worked with before|Given a chance to initiate a project as a member of Vidyut, describe the project you would pursue.|Additional Information|Mention any specific areas of interest in the fields of Mechanical, Civil and Chemistry|Given a chance to initiate a project as a member of Yantrika, describe the project you would pursue.|Additional Information|Which degree are you currently pursuing?|Are you available over the weekend?||Interviewed By:|Yes/No/Maybe
8/13/2013 23:46|Name1|13RR01|123456789|abc1@gmail.com1|Room No 1|Technical, HR|Sangnithra (Computers)|I don't have any interest in general. All i want is to have a fun and productive life.|I was in the final round of electropolis so it was fun working with robots. Plus apprentice was a learning experience.||C,C++,Java-3/5|Online fee payment service.||||||||B.Tech|Yes|||
8/14/2013 0:19|Name2|13RR02|123456790|abc2@gmail.com2|Room No 2|Technical|Sangnithra (Computers)|I have always enjoyed problem solving in various fields. It was one of the main reasons behind choosing CSE. Getting to learn Algorithms and applying them in every aspect of life definitely constitutes a large part of me.|I enjoyed Algorythm from CSI,Marathon from ISTE and NITK-Tuxride OPC from WebClub. I qualified for the 3rd round in both Algorythm and Marathon and was the best first year(ranked 13th overall) in Tuxride OPC. I really enjoyed the logical thinking involved in the competitions and the programming aspect of it.||C                                         - 4.5C++(version 4.3.2/4.0.0.8)  - 4.0|To incorporate an automated Attendance Register in classrooms in collaboration with the other SIGs. A student in order to give his/her attendance just has to swipe his/her NITK ID card in a scanner and automatically the attendance is registered in the database. Adding or subtracting attendance feature can also be installed. This operation can only be performed by a faculty member equipped with a faculty ID card which also can be swiped in the scanner. At the end of the semester the information in the database can be transferred to the departments and a final report can be published.||||||||B.Tech|Yes|||
8/14/2013 14:12|Name3|13RR03|123456791|abc1@gmail.com2|Room No 3|Technical, HR|Yankrika (Mechanical), Kaaryavarta (Business)|I'm interested in automobiles, business and networking|Pangea by IEEE. . well it was awesome coz it involved quick thinking and pressure situations..i made it to the final with just a team of two coz my other teammates got busy with a EFOREA event||||||||Automobile, I'm in the tech team of FSAE in college|it would be something related to ballistics..|knowledge about aerodynamics and automobile in general, know basic designing on solidworks|B.Tech|Yes|||
8/14/2013 14:42|Name4|13RR04|123456792|abc2@gmail.com3|Room No 4|Technical|Sangnithra (Computers)|I enjoy working with computers. I am also an avid football fan. Manchester United is a very important part of my life. I enjoy meeting new people and learning new things. Oh, and I play FIFA quite a bit.|I used to participate in most events and Marathon was an event that I enjoyed a lot. I liked the kind of questions asked.||C - 3 on 5.C++ - 3 on 5.Python - 2 on 5.Java - 2 on 5.|Developing an Android app to keep track of money lent and borrowed to your contacts has been something that I've been very interested in creating. With the right team, I'm pretty sure we could do a very good job and implement several additional features than the basic aim of the app.|National Cyber Olympiad - Rank 7 (2009).I've done some projects in MATLAB. Basic idea of android programming.|||||||B.Tech|Yes|||
8/14/2013 14:57|Name5|13RR05|123456793|abc1@gmail.com3|Room No 5|Technical|Sangnithra (Computers)|I love programming, gaming,chess and travelling.|Apprentice was my favorite event last year. I had a good time despite not making it past the second round. It was well organized.||Java 4/5C 3/5|I would start a project to develop a functioning physics engine to simulate gravity, collisions etc.My interests lie in real time programming and computational physics.|1. I made a Sudoku solver that can solve all levels of Sudoku in optimum time using stacks. 2. I made a program which realizes 2 dimensional collisions of spherical bodies using priority queues|||||||B.Tech|Yes|||
8/14/2013 15:05|Name6|13RR06|123456794|abc2@gmail.com4|Room No 6|Technical, HR|Sangnithra (Computers), Yankrika (Mechanical), Kaaryavarta (Business), Saahitya (Literature)|My main interests include designing algorithms, pursuing constructive projects and learning about finance to improve my business acumen. If I get the chance to join the club, I feel it is imperative to have a good learning experience in addition to contributing incessantly towards the club activities and bring in new dimensions (if possible).|My favourite CSI  event was marathon. I felt it was really interesting and captivating. All the rounds had a wide array of logical based tasks which involved lot of thinking. I reached the finals along with my team-mates and we learnt a lot en route to the final round. Although we didn't win in the end, it was a great experience to be part of this mega event.||C++/C(3.5 out of 5)|Projects on developing games.|||||Interested in areas related to chemical engineering- organic(polymers), thermodynamics, mechanical related projects on aerodynamics as well.|Any project related to areas as mentioned above.|Pursued a project under IEEE on 'PH sensors using conducting polymers'My skills include researching on the topic thoroughly and presenting the details in a concise manner in the form of ppts, word documents etc.|B.Tech|No|||
8/14/2013 15:42|Name7|13RR07|123456795|abc1@gmail.com4|Room No 7|Technical|Yankrika (Mechanical), Kaaryavarta (Business)|I am interested in automobile and aerospace. I feel a club like CSI will give me the freedom to take up projects and do productive work in the above fields. Apart from that, I'm also interested in the stock market and would like to gain more knowledge into the world of finance,|My favourite CSI event last year was Enterpryse, the flag ship event of E-forea. I enjoyed the fact that our team managed to win despite the challenges and the strict timelines we had to face.||||||||My interests lie primarily in the field of suspension (automobile) and aerodynamics.|I would like to take up a project regarding aquaplaning in vehicles.|I am a part of FSAE and I feel that I can apply whatever I learn through CSI.I also know a bit of SolidWorks|B.Tech|Yes|||
8/14/2013 15:42|Name8|13RR08|123456796|abc2@gmail.com5|Room No 8|Technical, HR|Kaaryavarta (Business)|Actually I have a lot of interests.Ranging from photography/photoshop to entrepreneurship and startups.But among them, entrepreneurship is something which I am very close to.The whole idea of creating something new and amazing inspires me.I have already founded a startup (http://booksonhire.in) and was involved in designing the banners/contents on the website.|One of my favourite events was Mock Stock.It was something I absolutely enjoyed!!.It was a nice event coupled with the highs and lows of a real stock market.It was amazing!! It made me feel like a stock broker...somewhat!!|Photoshop- 2.5/5Adobe Flash- 2/5||||||||||B.Tech|No|||
8/14/2013 16:32|Name9|13RR09|123456797|abc1@gmail.com5|Room No 9|Technical|Sangnithra (Computers)|I like gaming, coding, reading novels and playing cricket. And i like making games too.|Wasn't in the college for any CSI events. Liked Scotland yard(ISTE Event i think). It was fun.Tech related event - Pictography using LEDs(something like that, probably an IEEE event). It was fun using the circuit.||C/C++ - 4/5Java - 3/5(Still learning)HTML/CSS-4/5Javascript/jQuery-3/5(Still learning)|Game Development Project(2D or 3D)Description:Self-explanatory!|Made tower of hanoi and hangman games(C++) for an event. Part of team making games for engi website.|||||||B.Tech|Yes|||
8/14/2013 16:37|Name10|13RR10|123456798|abc2@gmail.com6|Room No 10|Technical|Sangnithra (Computers)|I am interested in Web Design,Android App Development and Programming.I know HTML, CSS, PHP, JS. I am currently learning ASP.|"""Riddled""( (Stood Runner up)  by IEEE-It was an event about Ethical hacking which was very interesting.BrainStorming App by Webclub(Runner up ) was also very good.In fact, CSI organised many events last year which were technically very good but could not remember the names."|Code Blocks,Turbo C,Dev C++: 3Eclipse(for Android App):2NetBeans (for PHP):4|C,C++,Basic Java,HTML,PHP|Development of Android Apps having utilities in practical life-(Special interest- Internal functionalities of apps)||||||||B.Tech|Yes|||
8/14/2013 16:37|Name11|13RR11|123456799|abc1@gmail.com6|Room No 11|Technical|Sangnithra (Computers)|Software development interests me greatly. I enjoy coding.Also, recently, I have begun to take interest in website development. I sometimes look up the source code of the websites which appeal to me and try to figure out how they present or handle data.|Algorithm was my favourite CSI event from last year. It tested my logical abilities and, more importantly, speed as an amateur programmer.The patterns that we were asked to decode were pretty innovative and made me rack my brains to figure out the logic behind them. Also, the blind coding was fun!||I am comfortable in C,C++ and Java.I also know the basics of HTML/CSS and am currently trying to improve my skills in the languages.I would rate myself 3.25/5.|A major problem with many gadgets today is their low speaker volume. A software that can sync with laptops or phones in the neighborhood and play the same file simultaneously, thereby amplifying the volume, would be helpful to many people.|Every year, CSI organizes a programming competition for students of class 9th to 12th. In 2010, I was a part of the team that qualified to the national finals of the competition.|||||||B.Tech|Yes|||
8/14/2013 16:45|Name12|13RR12|123456800|abc2@gmail.com7|Room No 12|Technical, HR|Sangnithra (Computers)|Reading Novels is one of my interests. Also recently ie after joining the college developed an interest in coding. Trying to learn different languages now. Also love to follow cricket and conduct events if given an opportunity. Also learnt some basic web designing recently which is another of my areas of interest now.|There were many events i enjoyed. I think electropolis was a CSI event and i had enjoyed it a lot. I liked it mainly because my team was selected for the second round. I also liked it because the first round tested logical thinking which i enjoyed. I also enjoyed participating in many other events conducted by CSI and non CSI clubs, though I dont remember their names. I had also enjoyed conducting events for my own year as part of an IEEE fest.||C: 4C++: 3Python: 2PHP: 3|Maybe do something to boost cyber security by better encryption.With cyber identity theft and other crimes increasing, I think its a need of the hour. Though currently I have no idea about how to go about such stuff.|As part of IEEE student member summer project, had learnt basic web designing using HTML, CSS, PHP and mySQL.The website can be seen at: www.gokulpremraj.site90.net.|||||||B.Tech|No|||
8/14/2013 16:49|Name13|13RR13|123456801|abc1@gmail.com7|Room No 13|HR|Yankrika (Mechanical)|INTERESTS -1-knowing about unknown things in world .2-to do something different.3-watching movies .4- athletics. to become a successful engineer is very important for me.|MatLab Workshop .got to learn a lot in this workshop.momentum transfer , i like it .||||||||1-construction sites of civil engineering 2-mechanical workshops.3-designing of buildings .|auto-cad.||B.Tech|Yes|||
8/14/2013 16:53|Name14|13RR14|123456802|abc2@gmail.com8|Room No 14|Technical|Sangnithra (Computers)|My interests are numismatics, computer programming (lately , more specifically - ANDROID), trekking.I personally like playing badminton - its an awesome way to have fun while still exercising Important to me ? I think all are pretty important to me|My favourite CSI event was Glitterati as it was a competition that tested the participants on all things - general knowledge, english and drama. I liked the event a lot - a lot of tension and fun at the same time. Also, the coding event was also pretty good. I managed to reach the finals. The programs required to code were pretty interesting||C - 2.5/5C++ - 3/5JAVA - 2.5/5XML - 2/5|A project so that the grade list entry , pointer calculations and submission to Academic department is done through the LAN network|I had created a TIC TAC TOE game using C++.I have a bit of experience in Graphics because of this|||||||B.Tech|Yes|||
8/14/2013 17:37|Name15|13RR15|123456803|abc1@gmail.com8|Room No 15|HR|Yankrika (Mechanical)|1-athletics ( 100m racing )2-watching movies 3-mathematicsTo become a successful engineer is important for me.|MatLab Workshopbest workshop .momentum transfer concept i liked .||||||||1- construction sites .2- design of buildings 3- mechanical workshops|mathematics quiz .||B.Tech|Yes|||
8/14/2013 17:56|Name16|13RR16|123456804|abc2@gmail.com9|Room No 16|Technical, Media|Yantrika (Mechanical), Kaaryavarta (Business)|sports, web designing, robotics, sketching.|scotland yard. the rush and brainstorming was quite fun got to explore the campus.||||||||automobile, robotics, designing..|I would like to design a small car with greater fuel efficiency, in the sense that trying to extract energy from as many ways as we could such as lowering loss due to friction, before design of the engine.|part design and assembly in catia,|B.Tech|Yes|||
